# Original starter lessons. word|ipa|meaning|example|exampleZh|level
before|/bɪˈfɔː/|prep. 在……之前|Read the question before the story.|先读问题，再读故事。|基础
after|/ˈɑːftə/|prep. 在……之后|We talk about the story after class.|下课后我们讨论这个故事。|基础
between|/bɪˈtwiːn/|prep. 在……之间（两者）|Take a break between two lessons.|两节课之间休息一下。|基础
different|/ˈdɪfrənt/|adj. 不同的|These words have different meanings.|这些词的意思不同。|基础
same|/seɪm/|adj. 相同的|We have the same goal.|我们有相同的目标。|基础
enough|/ɪˈnʌf/|adj. 足够的；adv. 足够地|You have enough time to finish.|你有足够的时间完成。|基础
useful|/ˈjuːsfəl/|adj. 有用的|Keep a list of useful phrases.|保留一份有用短语的清单。|基础
example|/ɪɡˈzɑːmpəl/|n. 例子；例句|This example shows how to use the word.|这个例句展示了如何使用这个词。|基础
sentence|/ˈsentəns/|n. 句子|Read the whole sentence aloud.|大声读出整个句子。|基础
improve|/ɪmˈpruːv/|v. 改善；提高|I want to improve my listening skills.|我想提高我的听力水平。|进阶
plan|/plæn/|n. 计划；v. 计划|A simple plan helps me stay focused.|一个简单的计划帮助我保持专注。|进阶
goal|/ɡəʊl/|n. 目标|My goal is to pass the English test.|我的目标是通过英语考试。|进阶
habit|/ˈhæbɪt/|n. 习惯|Reading before bed is my new habit.|睡前阅读是我的新习惯。|进阶
review|/rɪˈvjuː/|v. 复习；n. 回顾|Review old words before learning new ones.|学习新词之前先复习旧词。|进阶
progress|/ˈprəʊɡres/|n. 进步；进展|Small steps can lead to real progress.|小小的步伐也能带来真正的进步。|进阶
reason|/ˈriːzən/|n. 原因；理由|Explain the reason for your choice.|解释你作出这个选择的原因。|进阶
result|/rɪˈzʌlt/|n. 结果|Check the result and learn from it.|检查结果，并从中学习。|进阶
advice|/ədˈvaɪs/|n. 建议（不可数）|My teacher gave me some useful advice.|老师给了我一些有用的建议。|进阶
decide|/dɪˈsaɪd/|v. 决定|I decide to study for ten more minutes.|我决定再学十分钟。|进阶
explain|/ɪkˈspleɪn/|v. 解释；说明|Could you explain this sentence?|你能解释一下这个句子吗？|进阶
compare|/kəmˈpeə/|v. 比较|Compare your answer with the example.|把你的答案和例子比较一下。|进阶
continue|/kənˈtɪnjuː/|v. 继续|Let us continue after a short break.|短暂休息后我们继续吧。|进阶
prepare|/prɪˈpeə/|v. 准备|We prepare for the test together.|我们一起为考试作准备。|进阶
notice|/ˈnəʊtɪs/|v. 注意到；n. 通知|I notice a mistake in my sentence.|我注意到自己的句子里有一个错误。|进阶
instead|/ɪnˈsted/|adv. 代替；反而|I put down my phone and read instead.|我放下手机，转而读书。|进阶
although|/ɔːlˈðəʊ/|conj. 虽然；尽管|Although I was tired, I finished the lesson.|虽然很累，我还是完成了这节课。|进阶
however|/haʊˈevə/|adv. 然而；不过|The article is short. However, it is not easy.|这篇文章很短，不过并不容易。|进阶
especially|/ɪˈspeʃəli/|adv. 尤其；特别是|I enjoy reading, especially short stories.|我喜欢阅读，尤其是短篇故事。|进阶
possible|/ˈpɒsəbəl/|adj. 可能的|It is possible to learn during a short break.|利用短暂休息学习是可能的。|进阶
achieve|/əˈtʃiːv/|v. 达到；实现|You can achieve your goal step by step.|你可以一步一步实现目标。|四级衔接
benefit|/ˈbenɪfɪt/|n. 好处；v. 受益|One benefit of reading is a larger vocabulary.|阅读的一个好处是扩大词汇量。|四级衔接
challenge|/ˈtʃælɪndʒ/|n. 挑战|Learning a language is a long-term challenge.|学习一门语言是一项长期挑战。|四级衔接
confidence|/ˈkɒnfɪdəns/|n. 信心；自信|Small successes build confidence.|小小的成功能建立信心。|四级衔接
develop|/dɪˈveləp/|v. 发展；培养|Students develop skills through practice.|学生通过练习培养技能。|四级衔接
effort|/ˈefət/|n. 努力|Your effort matters more than one bad result.|比起一次糟糕的结果，你的努力更重要。|四级衔接
environment|/ɪnˈvaɪrənmənt/|n. 环境|A quiet environment helps me concentrate.|安静的环境帮助我集中注意力。|四级衔接
experience|/ɪkˈspɪəriəns/|n. 经历；经验|The reading club was a useful experience.|这次读书会是一次有益的经历。|四级衔接
focus|/ˈfəʊkəs/|v. 集中注意力；n. 重点|Focus on one task at a time.|一次专注于一项任务。|四级衔接
increase|/ɪnˈkriːs/|v. 增加；增长|Increase your reading time slowly.|慢慢增加你的阅读时间。|四级衔接
knowledge|/ˈnɒlɪdʒ/|n. 知识|Use your knowledge to solve the problem.|用你的知识解决这个问题。|四级衔接
method|/ˈmeθəd/|n. 方法|This method helps me remember difficult words.|这个方法帮助我记住难词。|四级衔接
opportunity|/ˌɒpəˈtjuːnəti/|n. 机会|Every conversation is an opportunity to learn.|每次交谈都是一次学习的机会。|四级衔接
provide|/prəˈvaɪd/|v. 提供|The library provides a place to study.|图书馆提供了一个学习的地方。|四级衔接
reduce|/rɪˈdjuːs/|v. 减少；降低|A clear plan can reduce stress.|清晰的计划可以减轻压力。|四级衔接
require|/rɪˈkwaɪə/|v. 需要；要求|Good writing requires clear ideas.|好的写作需要清晰的想法。|四级衔接
responsible|/rɪˈspɒnsəbəl/|adj. 负责的；有责任的|We are responsible for our own learning.|我们要对自己的学习负责。|四级衔接
support|/səˈpɔːt/|v. 支持；n. 支持|My friends support my decision.|我的朋友们支持我的决定。|四级衔接
therefore|/ˈðeəfɔː/|adv. 因此；所以|The word was new. Therefore, I wrote it down.|这个词是生词，所以我把它记了下来。|四级衔接
value|/ˈvæljuː/|n. 价值；v. 重视|I value the time we spend learning together.|我珍惜我们一起学习的时光。|四级衔接
